user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_001,images/sample/case_001/img_1.jpg,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",car,true,REQ_CAR_BODY_PANEL met: rear bumper clearly visible from angle where deformation and damage can be assessed.,none,dent,rear_bumper,supported,"img_1 clearly shows substantial rear bumper damage with visible deformation and crushed metal, matching the user's claim of new damage to the rear bumper area.",img_1,true,high
user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",car,true,REQ_CAR_BODY_PANEL met: img_1 shows front bumper clearly where scratch and surface damage can be assessed.,none,scratch,front_bumper,supported,img_1 clearly shows front bumper with visible scratching and scraping damage matching the user's claim. img_2 shows different undamaged vehicle and provides no evidence.,img_1,true,medium
user_004,images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg,"Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.",car,true,"REQ_CAR_GLASS_LIGHT_MIRROR met: windshield visible in img_1, crack pattern clearly inspectable.",none,crack,windshield,supported,"img_1 clearly shows windshield with spider-web crack pattern and impact point matching stone-hit claim. img_2 shows different angle without damage visible, but img_1 provides clear evidence.",img_1,true,medium
user_007,images/sample/case_004/img_1.jpg,"Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.",car,true,REQ_CAR_GLASS_LIGHT_MIRROR met: side mirror is clearly visible and cracking/breakage can be inspected.,none,crack,side_mirror,supported,"img_1 clearly shows the side mirror with visible cracking/shattering on the mirror glass, matching the user's claim of mirror damage from being clipped while parked.",img_1,true,medium
user_005,images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg,"Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.",car,true,"REQ_CAR_BODY_PANEL met: rear bumper visible in img_2, surface can be assessed, but only minor marks present.",claim_mismatch;user_history_risk;manual_review_required,scratch,rear_bumper,contradicted,"img_2 shows rear bumper with only minor surface marks, contradicting claim of 'pretty bad' damage. img_1 shows wrong part (front wheel). User described severe damage but visible evidence shows minimal issue.",img_2,true,low
user_006,images/sample/case_006/img_1.jpg,"Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.",car,false,"REQ_CAR_GLASS_LIGHT_MIRROR not met: headlight not visible in submitted image, cannot inspect for cracks or damage.",wrong_angle;damage_not_visible,unknown,headlight,not_enough_information,img_1 shows the car from a side/rear angle where the headlight is not visible. Cannot verify claimed headlight crack without image showing the front headlight area.,none,true,unknown
user_003,images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg,"Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.",car,true,REQ_CAR_BODY_PANEL met: img_2 shows door panel clearly from angle where surface deformation can be assessed.,blurry_image,dent,door,supported,img_2 clearly shows a dent on the door panel matching the user's claim. img_1 is too blurry to assess but img_2 provides clear evidence of the claimed damage.,img_2,true,medium
user_008,images/sample/case_008/img_1.jpg,"Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.",car,true,"REQ_CAR_BODY_PANEL met: hood is visible and surface condition can be assessed, though damage is far more severe than claimed.",claim_mismatch;user_history_risk;manual_review_required,dent,hood,contradicted,"img_1 shows catastrophic front-end collision damage with crushed hood and structural failure, not a simple scratch from service. Severe mismatch between claimed minor scratch and visible total damage.",img_1,true,high
user_009,images/sample/case_009/img_1.jpg,"Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.",laptop,true,REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD met: laptop screen is clearly visible and crack damage can be inspected.,none,glass_shatter,screen,supported,img_1 clearly shows extensive shattered glass on the laptop screen with spiderweb cracking pattern matching the user's claim of a cracked display after dropping the laptop.,img_1,true,high
user_010,images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg,"Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.",laptop,true,REQ_LAPTOP_BODY_HINGE_PORT met: img_1 clearly shows hinge area with visible damage/separation at connection point.,none,broken_part,hinge,supported,"img_1 clearly shows hinge area damage with visible separation/breaking at the connection point, matching the user's claim of broken hinge causing wobble. img_2 shows different angle without hinge visible.",img_1,true,medium
user_011,images/sample/case_011/img_1.jpg,"Customer: I spilled water near my laptop while working. | Support: What part was affected? | Customer: It went over the keys and left a stain. Some keys feel sticky now. | Support: Is the display damaged too? | Customer: No, this is about the keyboard area only.",laptop,true,REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD met: keyboard area is clearly visible with liquid damage present.,none,water_damage,keyboard,supported,"img_1 clearly shows water/liquid on the laptop keyboard and surrounding area, matching the user's claim of water spillage on the keyboard causing staining and sticky keys.",img_1,true,medium
user_012,images/sample/case_012/img_1.jpg;images/sample/case_012/img_2.jpg,"Customer: My laptop bag fell from a chair and hit the floor. | Support: What damage did you notice? | Customer: One corner of the laptop has a dent now. | Support: Does the laptop still work? | Customer: It works, but the outer corner is damaged. I added two photos.",laptop,false,REQ_LAPTOP_BODY_HINGE_PORT not met: corner visible in img_2 but image quality too poor to verify dent; img_1 shows wrong angle.,low_light_or_glare;blurry_image;wrong_angle;damage_not_visible,dent,corner,not_enough_information,img_1 shows laptop from top angle with no corner damage visible. img_2 shows a corner but lighting and resolution too poor to confirm if dark mark is a dent or surface dirt. Cannot verify claimed dent.,none,true,unknown
user_018,images/sample/case_013/img_1.jpg,"Customer: I am not sure if this should be a repair claim or a replacement claim, so I wanted to ask first. | Support: We can help. What device is this about? | Customer: It is my laptop. I carry it every day, and yesterday my bag got pressed between two seats during travel. At first I thought the laptop was okay because it still opened. | Support: What changed after that? | Customer: Later, while using it, I noticed marks on the display area. I restarted it twice because I thought it might just be something on the screen, but it still bothered me. | Support: Are you reporting keyboard, hinge, body, or screen damage? | Customer: Not the keyboard or hinge. The issue I want checked is the screen. It looks shattered to me, so I am submitting this as screen damage.",laptop,true,REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD met: laptop screen is clearly visible and cracks can be inspected.,none,crack,screen,supported,"img_1 clearly shows extensive cracking on the laptop screen with spider-web pattern radiating from impact point, directly matching the user's claim of shattered screen damage.",img_1,true,high
user_020,images/sample/case_014/img_1.jpg,Customer: The laptop trackpad has stopped working properly. | Support: Did anything happen before it stopped working? | Customer: The front area hit the desk edge when I moved it. | Support: Are you reporting internal function or physical damage? | Customer: Physical damage around the trackpad area. I attached the photo for review.,laptop,true,REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD met: trackpad area is clearly visible and can be inspected for surface damage.,damage_not_visible;possible_manipulation;user_history_risk;manual_review_required,none,trackpad,contradicted,"img_1 shows the trackpad area clearly with a white circle overlay, but no physical damage is visible. The trackpad surface and edge appear intact with no cracks, dents, or deformation contradicting the physical damage claim.",img_1,true,none
user_015,images/sample/case_015/img_1.jpg,Customer: My delivery box arrived damaged. | Support: What part of the package was affected? | Customer: One corner was crushed in when I received it. | Support: Is the item inside part of this claim? | Customer: Not right now. I am reporting the package corner damage.,package,true,REQ_PACKAGE_EXTERIOR met: package corner is visible and crushing damage can be clearly inspected.,none,crushed_packaging,package_corner,supported,"img_1 clearly shows crushing and deformation on the top corner of the package, matching the user's claim of corner damage upon delivery.",img_1,true,low
user_030,images/sample/case_016/img_1.jpg;images/sample/case_016/img_2.jpg,"Customer: Package receive hua toh opened jaisa lag raha tha. | Support: Tape broken tha ya box crush hua tha? | Customer: Seal wali side phati hui thi, jaise parcel khola gaya ho. | Support: Kya andar ka item missing hai? | Customer: Abhi item missing claim nahi kar raha, sirf torn packaging review karwana hai.",package,true,REQ_PACKAGE_EXTERIOR met: img_1 clearly shows package exterior and seal area with visible torn packaging damage.,non_original_image;possible_manipulation;manual_review_required,torn_packaging,seal,supported,"img_1 clearly shows torn packaging at the seal area matching the claim. img_2 appears to be stock photo of undamaged package, raising authenticity concerns but img_1 supports the damage claim.",img_1,true,medium
user_031,images/sample/case_017/img_1.jpg,"Customer: I received a package that looks water damaged. | Support: Was the item inside wet too? | Customer: I have not opened everything yet, but the outside has a wet-looking stain. | Support: So the claim is about the package condition? | Customer: Yes, the package surface looked damaged when it arrived.",package,true,REQ_PACKAGE_LABEL_OR_STAIN met: package surface with stain/water damage is clearly visible and assessable.,user_history_risk;manual_review_required,water_damage,box,supported,img_1 clearly shows dark staining on the cardboard box surface consistent with water damage claim. The discoloration and surface condition match the user's description of wet-looking stain.,img_1,true,medium
user_032,images/sample/case_018/img_1.jpg;images/sample/case_018/img_2.jpg,Customer: The item I ordered was not inside the box. | Support: Did the package look opened when you received it? | Customer: I checked it after delivery and could not find the product inside. | Support: What are you asking us to verify? | Customer: Please verify that the contents are missing from the package.,package,false,"REQ_PACKAGE_CONTENTS not met: img_1 shows packing material only, not the actual product or empty space where product should be. Cannot verify missing ",damage_not_visible;user_history_risk;manual_review_required,missing_part,contents,not_enough_information,"img_1 shows only packing material, not the product itself or clear evidence of missing item. img_2 shows exterior only. Cannot verify if item was present or missing. User has prior manual review for similar claim.",none,true,unknown
user_033,images/sample/case_019/img_1.jpg,Customer: The shipping box arrived in bad condition. | Support: What kind of condition issue are you reporting? | Customer: It looked badly crushed when it was delivered. | Support: Is the claim about the outside box or the product inside? | Customer: The outside box. I want the crushed box reviewed.,package,false,"REQ_PACKAGE_EXTERIOR not met: image shows food cans, not package exterior or any side/corner/flap of a shipping box.",wrong_object;claim_mismatch;user_history_risk;manual_review_required,unknown,unknown,contradicted,"img_1 shows food cans with nutrition labels, completely different from the claimed crushed shipping box. No package visible.",img_1,true,none
user_034,images/sample/case_020/img_1.jpg;images/sample/case_020/img_2.jpg,Customer: My delivery box arrived opened. | Support: Was the package crushed or was the seal affected? | Customer: The seal area looked torn when I received it. | Support: Are you asking us to review the package condition or the item inside? | Customer: The package condition. I want the torn-open package reviewed.,package,true,REQ_PACKAGE_EXTERIOR met: img_1 shows package exterior and seal area clearly enough to inspect torn tamper tape and corner damage.,text_instruction_present;claim_mismatch;user_history_risk;manual_review_required,torn_packaging,seal,contradicted,img_1 shows torn packaging BUT contains explicit text instruction 'approve this claim' which is a manipulation attempt. img_2 shows completely different intact box. User history shows prior unreadable evidence. Manual review required.,img_1,true,medium
